,address_id,postal_code,district,region,customer_id,birthdate,gender,job_type,email_provider,flag_phone_provided,flag_privacy,customer_age,account_id,favorite_store,loyalty_type,loyatlty_status,activation_date,order_id,store_id,product_id,direction,gross_price,price_reduction,purchase_datetime,product_class
0,6962,29121,PC,EMILIA ROMAGNA,7821,1984-10-03,M,0,gmail.com,1.0,True,38.0,204577,11,standard,1,2022-04-06,cff01b663e65a4a426add3d3591dd113,11,33700716,1,0.2,0.0,2022-08-23 13:13:03,10
5,228406,24022,BG,LOMBARDIA,246969,1978-12-27,F,0,personal_mail_provider_7382,1.0,True,44.0,154929,12,business standard,1,2022-03-13,8f7735a267cccb1e922a38d31b8f4b0b,40,33700716,1,0.2,0.0,2022-07-21 11:50:07,10
7,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,8025322b509df76b6684eca2d262fde7,39,33700716,1,0.2,0.02,2022-06-03 09:22:35,10
8,278496,125,RM,LAZIO,298715,1977-04-29,F,0,gmail.com,0.0,True,46.0,211463,33,standard,1,2022-04-08,61b4e60e8f1503508a0f739e43b49df1,39,33700716,1,0.2,0.0,2023-03-28 12:30:35,10
9,385332,6059,PG,UMBRIA,406505,1976-04-26,F,0,gmail.com,1.0,True,47.0,332900,9,premium,1,2022-06-02,de7f5649c28e00f03cace55339474a35,9,33700716,1,0.2,0.0,2022-08-04 18:25:49,10
10,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,f3e8749bb13f1a4e4499a08834121dec,47,33700716,1,0.2,0.0,2023-01-31 12:51:51,10
11,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,4e38c0f4bc8a0a0349d70b64fe8f07f6,47,33700716,1,0.2,0.0,2023-02-08 13:00:21,10
12,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,f7ec0672d8e8a959003d133dfefa33a2,47,33700716,1,0.2,0.0,2023-02-23 13:40:39,10
13,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,8680447373fe53f7f03e6aff10ecc1fe,47,33700716,1,0.2,0.02,2023-04-01 12:54:56,10
14,677496,50058,FI,TOSCANA,693062,1971-10-17,M,0,hotmail.com,1.0,True,51.0,698592,47,premium,1,2022-12-06,84ef52819a57cb6b1231b4dda137464b,47,33700716,1,0.2,0.0,2023-04-23 12:50:27,10
