,review_text,sentiment_label,review_id,customer_id
0,best coffee from green mountain so far i recomend this to anyone who loves coffee great taste and good price make this a great buy,positive,16434,7821
1,My vet told me to have my dog get these to help with her teeth and she loves them,positive,21485,246969
2,i have not gotten my order or heard anything from the seller even after sending out 2 emails,negative,104035,298715
3,No bitter aftertaste no stomach burning after drinking a great flavor and strength almost as good as the dallymar prodromal but would recommend them both,positive,115260,406505
4,I have purchase this coffee several times my husband said it has a great taste and it is a good cup of coffee,positive,9418,693062
5,One 58 pound mixed breed and 2 chi babies all like this food and it is rated well on nutrition on analysis sites,positive,113418,451758
6,I have enjoyed Pop Chips for over a year now and am now purchasing them by the box with a monthly shipment from Amazon,positive,23968,640999
7,i put it in a glass jar for chow watmore ken i talk about it is pink salt i resifet it fest,neutral,85307,322448
8,the best dan chips i ever bought there so good i ate ten five ounce bags in two weeks all by myself,positive,34604,34088
9,I generally buy my Via from Starbucks but buying here saved money and the number of trips I will make to Starbucks to buy the instant coffee,positive,110498,458071
10,NICE TOY BUT NOT REALLY ABLE TO USE WITH ANYTHING OTHER THAN NIBBLER TYPE TREATS,neutral,21834,93263
11,work with kids use to keep up plus I train to fight so they told me i need more words,neutral,60685,308545
12,Great product our dog is loving a tasting treat that is good for her 14 year old bones,positive,12261,2344
13,Although the bottle is a bit small it is a satisfying amount on a hot afternoon pulled out of an iced cooler and mixed with a couple ounces of cheap gin over a tall glass filled with ice and a lime twist,positive,112058,572518
14,this coffee has a very funny taste to it not good you would think wolfgang it would be good dont buy this coffee this is a review of 6 people there are 6 people in my shop we all hate it not good,negative,8679,181555
15,Living in small town America it is hard to find many items Amazon brings the world market to me at a reasonable cost,positive,120844,785061
16,I coulnt find this product anywhere else cheaper and I love it and couldnt live without it it helped me to keep my weight under control thanks for making such a great product,positive,122132,62076
17,I was looking for new coffee better flavor when I found jet fuel read all the reviews and went ahead and ordered it so far I have ordered twice at fifty in a box great price great coffee,positive,108007,253998
18,I got tierd of getting small bottles of molasses my boy freind love ginger snaps also ginger bread love the taste,positive,124993,225861
19,I have purchase this coffee several times my husband said it has a great taste and it is a good cup of coffee,positive,8709,417080
20,this product is great my dogs are so sensitive to eating of rawhide but these are great no choking or getting sick,positive,122783,792819
21,this product is great my dogs are so sensitive to eating of rawhide but these are great no choking or getting sick,positive,19362,548505
22,this is awesome if you have one of these coffee pots it really helps keep everything in order if everyone in your house drinks different kinds of coffee,positive,125054,692168
23,Thank u I will buy again it was for my ladys nite and everone loved it I order it on a Monday an it can the nexted day again I will b ordering this again,positive,106111,474890
24,this is a very good earl grey tea and i would recommend it to anyone who enjoys a quality tea,positive,13610,431885
25,Awesome Quick shipper and good price highly recommend them happy Happy joy joy get some of this wu Hu yee ha wowie,positive,60561,229985
26,One 58 pound mixed breed and 2 chi babies all like this food and it is rated well on nutrition on analysis sites,positive,20640,304480
27,bought this when i worked for walmart tasted great ended up buying 4 of then the next night they were great,positive,109533,641026
